batch_size	correct	epoch	grad_target_layer	grad_target_layer_alpha	loss	lr	n_samples
510.204	0.97634	65	0.0532304	87.6644	0.0682744	0.0024	50000
510.204	0.97882	66	0.0577629	89.0761	0.0634579	0.0024	50000
510.204	0.98058	67	0.0575693	83.9018	0.0583726	0.0024	50000
510.204	0.98004	68	0.0572257	87.684	0.059468	0.0024	50000
510.204	0.98234	69	0.0563812	88.4694	0.0540601	0.0024	50000
510.204	0.98234	70	0.0622716	86.3666	0.0526582	0.0024	50000
510.204	0.98322	71	0.0584882	86.4564	0.0508613	0.0024	50000
510.204	0.98318	72	0.0600509	86.4378	0.0510267	0.0024	50000
510.204	0.9844	73	0.0583094	87.1159	0.0468853	0.0024	50000
510.204	0.98336	74	0.0668407	86.6187	0.0494293	0.0024	50000
510.204	0.9848	75	0.0627308	87.5101	0.0461896	0.0024	50000
510.204	0.98506	76	0.0596094	87.971	0.0455519	0.0024	50000
510.204	0.9858	77	0.064476	84.2008	0.0434744	0.0024	50000
510.204	0.98428	78	0.0621317	87.2619	0.0468247	0.0024	50000
510.204	0.9857	79	0.0625966	86.4996	0.0420867	0.0024	50000
510.204	0.98604	80	0.0654425	86.9792	0.0427785	0.0024	50000
510.204	0.99204	81	0.0489048	88.1909	0.0250845	0.0008	50000
510.204	0.99504	82	0.0408204	90.7685	0.0165379	0.0008	50000
510.204	0.9952	83	0.0420567	86.6967	0.01648	0.0008	50000
510.204	0.99594	84	0.0378038	88.7208	0.01354	0.0008	50000
510.204	0.9969	85	0.0360268	89.3452	0.0106978	0.00024	50000
510.204	0.9974	86	0.0311568	90.9475	0.00944763	0.00024	50000
510.204	0.99784	87	0.0297554	88.4184	0.00841695	0.00024	50000
510.204	0.99802	88	0.0272174	89.1958	0.00751245	0.00024	50000
510.204	0.9981	89	0.0270901	89.2483	0.00691569	8e-05	50000
510.204	0.99852	90	0.0243877	90.6259	0.00670994	8e-05	50000
510.204	0.99842	91	0.0248887	91.4061	0.00628326	8e-05	50000
510.204	0.99872	92	0.0209839	88.6592	0.00547868	8e-05	50000
510.204	0.9985	93	0.0247447	91.0485	0.00588413	2.4e-05	50000
510.204	0.99874	94	0.0227604	90.3215	0.00510413	2.4e-05	50000
510.204	0.99878	95	0.0231757	91.4528	0.00528844	2.4e-05	50000
510.204	0.99892	96	0.0208765	89.2762	0.00516165	2.4e-05	50000
510.204	0.99882	97	0.0225969	88.4905	0.00511445	8e-06	50000
510.204	0.99888	98	0.0213006	89.4618	0.00489866	8e-06	50000
510.204	0.99882	99	0.0219922	90.4088	0.00501126	8e-06	50000
510.204	0.99876	100	0.022166	88.9424	0.00499038	8e-06	50000
