batch_size	correct	epoch	grad_target_layer	grad_target_layer_alpha	loss	lr	n_samples
510.204	0.42338	1	0.0278985	96.8136	1.56632	0.008	50000
510.204	0.5877	2	0.0542817	99.7458	1.14506	0.008	50000
510.204	0.66132	3	0.0594563	98.7121	0.95658	0.008	50000
510.204	0.7125	4	0.0584062	96.9536	0.823193	0.008	50000
510.204	0.74458	5	0.0585552	99.1225	0.73227	0.008	50000
510.204	0.76912	6	0.0617387	94.9455	0.663075	0.008	50000
510.204	0.79148	7	0.0574359	93.5829	0.605361	0.008	50000
510.204	0.80586	8	0.0628439	92.5001	0.56862	0.008	50000
510.204	0.81926	9	0.0570129	93.9915	0.52904	0.008	50000
510.204	0.82606	10	0.0610377	92.3075	0.503973	0.008	50000
510.204	0.83658	11	0.0613818	92.3092	0.476729	0.008	50000
510.204	0.8468	12	0.0618484	93.2055	0.451434	0.008	50000
510.204	0.85292	13	0.0597201	91.1994	0.433359	0.008	50000
510.204	0.85812	14	0.0643789	91.0175	0.416448	0.008	50000
510.204	0.86252	15	0.0650285	91.5297	0.406678	0.008	50000
510.204	0.86872	16	0.0603017	92.7617	0.384874	0.008	50000
510.204	0.87156	17	0.0685055	90.0529	0.377057	0.008	50000
510.204	0.87432	18	0.0669144	91.3317	0.366573	0.008	50000
510.204	0.8792	19	0.0634107	90.9781	0.356066	0.008	50000
510.204	0.88358	20	0.0635091	91.8415	0.343045	0.008	50000
510.204	0.88154	21	0.0656739	90.0057	0.341474	0.008	50000
510.204	0.88904	22	0.0638318	91.318	0.328515	0.008	50000
510.204	0.89094	23	0.0684264	90.0557	0.319838	0.008	50000
510.204	0.8927	24	0.0678009	91.0997	0.317071	0.008	50000
510.204	0.89344	25	0.0675362	88.9003	0.312048	0.008	50000
510.204	0.89616	26	0.0664503	90.3605	0.303723	0.008	50000
510.204	0.89784	27	0.0703147	89.7957	0.303121	0.008	50000
510.204	0.90186	28	0.0677416	87.2318	0.291909	0.008	50000
510.204	0.90404	29	0.0638064	88.4411	0.285472	0.008	50000
510.204	0.90312	30	0.0683208	88.8419	0.287309	0.008	50000
510.204	0.90512	31	0.0672403	90.5902	0.280728	0.008	50000
510.204	0.90774	32	0.0682527	89.4746	0.273376	0.008	50000
510.204	0.90624	33	0.0695037	89.8718	0.273167	0.008	50000
510.204	0.90846	34	0.0715524	87.7564	0.269341	0.008	50000
510.204	0.9085	35	0.0657388	88.2084	0.265581	0.008	50000
510.204	0.91072	36	0.0689913	89.202	0.260188	0.008	50000
510.204	0.91176	37	0.0667656	89.3663	0.257702	0.008	50000
510.204	0.91156	38	0.0682356	88.2875	0.258509	0.008	50000
510.204	0.91338	39	0.0712737	90.1495	0.252409	0.008	50000
510.204	0.9158	40	0.0685821	91.2908	0.245115	0.008	50000
510.204	0.91542	41	0.067742	88.2673	0.247927	0.008	50000
510.204	0.91584	42	0.0715793	90.684	0.246761	0.008	50000
510.204	0.9155	43	0.0730098	89.2243	0.247508	0.008	50000
510.204	0.91634	44	0.0728054	90.4968	0.244064	0.008	50000
510.204	0.91872	45	0.0699779	89.2406	0.239967	0.008	50000
510.204	0.91884	46	0.0700911	89.8314	0.237391	0.008	50000
510.204	0.91812	47	0.0772418	89.7523	0.240531	0.008	50000
510.204	0.91966	48	0.0719308	87.0322	0.234239	0.008	50000
510.204	0.9192	49	0.0720372	89.8299	0.23398	0.008	50000
510.204	0.92036	50	0.0709563	87.9402	0.23354	0.008	50000
510.204	0.91982	51	0.0719453	87.2592	0.233626	0.008	50000
510.204	0.92112	52	0.0733795	90.093	0.229908	0.008	50000
510.204	0.92134	53	0.0729643	87.9341	0.229937	0.008	50000
510.204	0.92272	54	0.071079	88.9429	0.227272	0.008	50000
510.204	0.92338	55	0.0727389	88.3418	0.224721	0.008	50000
510.204	0.9229	56	0.0714056	88.3905	0.226923	0.008	50000
510.204	0.92368	57	0.071546	88.388	0.22107	0.008	50000
510.204	0.92326	58	0.0756587	88.2002	0.225759	0.008	50000
510.204	0.92362	59	0.0732887	88.1411	0.221034	0.008	50000
510.204	0.92408	60	0.0750745	89.7075	0.220877	0.008	50000
510.204	0.95744	61	0.0547398	85.9815	0.125481	0.0024	50000
510.204	0.96828	62	0.0523944	87.1207	0.0924695	0.0024	50000
510.204	0.97346	63	0.0523984	87.9181	0.078577	0.0024	50000
510.204	0.9751	64	0.0558662	85.6988	0.0744181	0.0024	50000
