batch_size	correct	epoch	grad_target_layer	grad_target_layer_alpha	loss	lr	n_samples
510.204	0.41172	1	0.0284175	96.4577	1.59316	0.008	50000
510.204	0.59052	2	0.0548546	100.541	1.14307	0.008	50000
510.204	0.67154	3	0.0585379	100.458	0.927582	0.008	50000
510.204	0.71772	4	0.0628294	96.9759	0.802083	0.008	50000
510.204	0.75212	5	0.0665778	96.4332	0.71234	0.008	50000
510.204	0.77554	6	0.0592783	96.3721	0.648466	0.008	50000
510.204	0.79578	7	0.0620374	94.5882	0.597865	0.008	50000
510.204	0.80776	8	0.0630461	92.7868	0.555609	0.008	50000
510.204	0.82066	9	0.0581231	92.0522	0.523932	0.008	50000
510.204	0.83078	10	0.0592677	93.3927	0.497402	0.008	50000
510.204	0.8415	11	0.0602132	89.7163	0.466053	0.008	50000
510.204	0.85004	12	0.057452	91.3784	0.44408	0.008	50000
510.204	0.85436	13	0.0577109	89.6642	0.427741	0.008	50000
510.204	0.86328	14	0.0581122	91.7636	0.407749	0.008	50000
510.204	0.86592	15	0.0607677	92.7234	0.39483	0.008	50000
510.204	0.8705	16	0.0614252	89.8902	0.380663	0.008	50000
510.204	0.87506	17	0.0605095	91.5681	0.366126	0.008	50000
510.204	0.87662	18	0.0628169	89.4921	0.362503	0.008	50000
510.204	0.881	19	0.0621362	89.2498	0.349452	0.008	50000
510.204	0.883	20	0.0663389	90.2545	0.341107	0.008	50000
510.204	0.8865	21	0.0621352	89.0964	0.33168	0.008	50000
510.204	0.88868	22	0.0627794	90.6179	0.32408	0.008	50000
510.204	0.89158	23	0.0660272	88.5607	0.318512	0.008	50000
510.204	0.8937	24	0.0646242	88.3937	0.31519	0.008	50000
510.204	0.89624	25	0.0664679	88.5029	0.305446	0.008	50000
510.204	0.89864	26	0.0699887	88.0362	0.297452	0.008	50000
510.204	0.89886	27	0.0664479	86.95	0.296142	0.008	50000
510.204	0.89928	28	0.0670992	89.994	0.2975	0.008	50000
510.204	0.9027	29	0.0680211	88.4369	0.287487	0.008	50000
510.204	0.9042	30	0.0652936	92.2836	0.281108	0.008	50000
510.204	0.90444	31	0.0706378	90.2394	0.277703	0.008	50000
510.204	0.90788	32	0.0686835	90.8352	0.270332	0.008	50000
510.204	0.90722	33	0.0737505	90.9505	0.271359	0.008	50000
510.204	0.9089	34	0.0772531	90.2629	0.267555	0.008	50000
510.204	0.9105	35	0.0717253	90.4679	0.264384	0.008	50000
510.204	0.91134	36	0.0752441	88.1994	0.259306	0.008	50000
510.204	0.91178	37	0.0758216	87.9778	0.261107	0.008	50000
510.204	0.91036	38	0.0760779	88.5514	0.260729	0.008	50000
510.204	0.91462	39	0.0729264	89.8565	0.247512	0.008	50000
510.204	0.91436	40	0.0779206	88.9767	0.248463	0.008	50000
510.204	0.91662	41	0.0757344	89.5737	0.241747	0.008	50000
510.204	0.91856	42	0.0731445	90.1281	0.241252	0.008	50000
510.204	0.91604	43	0.0791797	87.9343	0.244093	0.008	50000
510.204	0.91888	44	0.0781691	90.0619	0.238827	0.008	50000
510.204	0.91872	45	0.0805046	87.8115	0.240569	0.008	50000
510.204	0.91898	46	0.0769415	89.6556	0.23786	0.008	50000
510.204	0.91858	47	0.0766205	91.2969	0.236275	0.008	50000
510.204	0.91986	48	0.0790064	88.6807	0.234464	0.008	50000
510.204	0.92214	49	0.077301	88.982	0.228908	0.008	50000
510.204	0.92236	50	0.0777019	88.5561	0.227568	0.008	50000
510.204	0.92048	51	0.0807685	89.6679	0.230909	0.008	50000
510.204	0.91986	52	0.0768497	90.111	0.230972	0.008	50000
510.204	0.9219	53	0.0834858	88.615	0.227342	0.008	50000
510.204	0.923	54	0.0795323	89.3102	0.223744	0.008	50000
510.204	0.9229	55	0.0779974	87.9161	0.225584	0.008	50000
510.204	0.92398	56	0.0815152	90.9478	0.219872	0.008	50000
510.204	0.92584	57	0.0792645	89.5758	0.221522	0.008	50000
510.204	0.9239	58	0.0804225	88.9683	0.218964	0.008	50000
510.204	0.92534	59	0.0824846	88.1394	0.218317	0.008	50000
510.204	0.9258	60	0.0763455	89.3665	0.216992	0.008	50000
510.204	0.95624	61	0.060223	88.2212	0.129433	0.0024	50000
510.204	0.96892	62	0.0593923	87.9208	0.092087	0.0024	50000
510.204	0.97322	63	0.0560445	87.7572	0.0787572	0.0024	50000
510.204	0.97556	64	0.0592265	89.3243	0.0730786	0.0024	50000
510.204	0.97608	65	0.0586958	86.7245	0.0708252	0.0024	50000
510.204	0.97982	66	0.0579609	88.1647	0.0612841	0.0024	50000
510.204	0.98026	67	0.0603143	85.5126	0.059831	0.0024	50000
510.204	0.98106	68	0.0621276	86.5602	0.0583309	0.0024	50000
