batch_size	correct	epoch	grad_target_layer	grad_target_layer_alpha	loss	lr	n_samples
510.204	0.98192	69	0.062443	84.9218	0.0534834	0.0024	50000
510.204	0.9833	70	0.0645494	88.3831	0.0503743	0.0024	50000
510.204	0.98328	71	0.0671884	89.4169	0.0495989	0.0024	50000
510.204	0.9832	72	0.0658244	88.1113	0.0495586	0.0024	50000
510.204	0.98466	73	0.0679115	88.1266	0.046516	0.0024	50000
510.204	0.9847	74	0.067441	88.9064	0.0469637	0.0024	50000
510.204	0.98384	75	0.0696599	87.6776	0.0478549	0.0024	50000
510.204	0.98566	76	0.0674629	88.2551	0.0440367	0.0024	50000
510.204	0.9863	77	0.0685919	88.0616	0.0415935	0.0024	50000
510.204	0.98546	78	0.0686209	87.7278	0.0430407	0.0024	50000
510.204	0.98566	79	0.0719596	86.7833	0.0446125	0.0024	50000
510.204	0.98516	80	0.074818	86.5718	0.0438054	0.0024	50000
510.204	0.99248	81	0.0514448	88.0519	0.0243192	0.0008	50000
510.204	0.9944	82	0.045095	89.202	0.0180376	0.0008	50000
510.204	0.99518	83	0.0445506	89.5228	0.0160304	0.0008	50000
510.204	0.9961	84	0.0422369	91.5617	0.0134138	0.0008	50000
510.204	0.9969	85	0.0372532	91.1176	0.0110172	0.00024	50000
510.204	0.99776	86	0.0325459	88.7419	0.00880666	0.00024	50000
510.204	0.99788	87	0.0312076	90.029	0.00853877	0.00024	50000
510.204	0.99848	88	0.0275549	88.6041	0.00657895	0.00024	50000
510.204	0.9983	89	0.0283764	89.6987	0.0065526	8e-05	50000
510.204	0.99874	90	0.0260602	92.5967	0.00606225	8e-05	50000
510.204	0.99866	91	0.0270795	87.4794	0.00602365	8e-05	50000
510.204	0.99882	92	0.0237103	90.2998	0.00541104	8e-05	50000
510.204	0.99872	93	0.0251715	88.8442	0.0055812	2.4e-05	50000
510.204	0.99868	94	0.0261053	89.2507	0.00547694	2.4e-05	50000
510.204	0.9987	95	0.0254546	89.33	0.00571834	2.4e-05	50000
510.204	0.99888	96	0.0242684	91.4939	0.00495474	2.4e-05	50000
510.204	0.99922	97	0.021392	88.2609	0.00432067	8e-06	50000
510.204	0.99874	98	0.0224695	91.9653	0.00482166	8e-06	50000
510.204	0.99866	99	0.0259691	89.8361	0.00544771	8e-06	50000
510.204	0.99894	100	0.0261736	88.6488	0.00487924	8e-06	50000
