batch_size	correct	epoch	grad_target_layer	grad_target_layer_alpha	loss	lr	n_samples
510.204	0.99262	81	0.0514778	89.5822	0.023951	0.0008	50000
510.204	0.99512	82	0.0458194	88.6354	0.0164394	0.0008	50000
510.204	0.99462	83	0.0506784	87.1436	0.0170508	0.0008	50000
510.204	0.99532	84	0.0487342	88.592	0.015253	0.0008	50000
510.204	0.99676	85	0.0414821	85.7081	0.0113861	0.00024	50000
510.204	0.99776	86	0.0344539	90.5972	0.00952415	0.00024	50000
510.204	0.99792	87	0.0348326	91.2883	0.00839361	0.00024	50000
510.204	0.99798	88	0.034108	89.1206	0.00793677	0.00024	50000
510.204	0.99838	89	0.0292724	89.0348	0.00704743	8e-05	50000
510.204	0.99854	90	0.0277789	89.3063	0.00633615	8e-05	50000
510.204	0.9986	91	0.0263415	90.0954	0.00548532	8e-05	50000
510.204	0.99858	92	0.0271595	90.4251	0.00588955	8e-05	50000
510.204	0.99872	93	0.0244856	89.73	0.00546947	2.4e-05	50000
510.204	0.99902	94	0.0236039	89.8382	0.00506823	2.4e-05	50000
510.204	0.99896	95	0.0249122	89.3245	0.00508647	2.4e-05	50000
510.204	0.9989	96	0.0251376	88.4045	0.0049844	2.4e-05	50000
510.204	0.99878	97	0.0256261	90.6161	0.00513376	8e-06	50000
510.204	0.99888	98	0.0229215	91.0608	0.00463077	8e-06	50000
510.204	0.9987	99	0.024957	91.1531	0.00497332	8e-06	50000
510.204	0.99866	100	0.0252779	90.4075	0.00511321	8e-06	50000
