batch_size	correct	epoch	grad_target_layer	grad_target_layer_alpha	loss	lr	n_samples
510.204	0.40892	1	0.033817	97.6972	1.59698	0.008	50000
510.204	0.59218	2	0.0691706	100.144	1.12834	0.008	50000
510.204	0.6717	3	0.0855547	100.028	0.920971	0.008	50000
510.204	0.7231	4	0.0842364	99.0884	0.789388	0.008	50000
510.204	0.756	5	0.085309	98.1879	0.704386	0.008	50000
510.204	0.77702	6	0.0824334	95.9566	0.642436	0.008	50000
510.204	0.79818	7	0.0834954	94.9292	0.592398	0.008	50000
510.204	0.8112	8	0.0835482	96.1219	0.550619	0.008	50000
510.204	0.82346	9	0.0821468	93.3103	0.514299	0.008	50000
510.204	0.8318	10	0.0865247	95.1771	0.490549	0.008	50000
510.204	0.84122	11	0.0858527	94.5394	0.467253	0.008	50000
510.204	0.84918	12	0.0837211	94.0271	0.446231	0.008	50000
510.204	0.85282	13	0.0856292	93.2163	0.429538	0.008	50000
510.204	0.86162	14	0.0829734	90.6177	0.407795	0.008	50000
510.204	0.8625	15	0.0839934	91.6088	0.400198	0.008	50000
510.204	0.86746	16	0.0776983	91.4111	0.387958	0.008	50000
510.204	0.87502	17	0.0755345	94.4044	0.366808	0.008	50000
510.204	0.87676	18	0.085016	91.9258	0.362918	0.008	50000
510.204	0.87974	19	0.0826818	90.259	0.34864	0.008	50000
510.204	0.8837	20	0.0784776	90.0997	0.342366	0.008	50000
510.204	0.88664	21	0.0832918	89.7962	0.335307	0.008	50000
510.204	0.88836	22	0.0775992	90.1312	0.324577	0.008	50000
510.204	0.8903	23	0.0814944	90.8477	0.322585	0.008	50000
510.204	0.89222	24	0.0787154	90.4586	0.313985	0.008	50000
510.204	0.89526	25	0.0741343	88.8177	0.307642	0.008	50000
510.204	0.89662	26	0.0733944	89.7975	0.301773	0.008	50000
510.204	0.89892	27	0.0778656	89.6699	0.29646	0.008	50000
510.204	0.90158	28	0.0800276	90.3452	0.288762	0.008	50000
510.204	0.90364	29	0.0794748	93.1834	0.283944	0.008	50000
510.204	0.90512	30	0.0775464	90.1207	0.281588	0.008	50000
510.204	0.90338	31	0.080116	89.9232	0.281641	0.008	50000
510.204	0.90608	32	0.0788173	88.0401	0.276039	0.008	50000
510.204	0.90694	33	0.0753878	89.0878	0.275747	0.008	50000
510.204	0.9098	34	0.0752346	89.3739	0.264533	0.008	50000
510.204	0.91148	35	0.0764372	90.9793	0.262026	0.008	50000
510.204	0.91074	36	0.0800403	89.7121	0.25926	0.008	50000
510.204	0.9104	37	0.0736478	87.9662	0.262023	0.008	50000
510.204	0.91322	38	0.0763858	88.9816	0.254831	0.008	50000
510.204	0.91426	39	0.0755187	90.595	0.251278	0.008	50000
510.204	0.91384	40	0.0778318	88.6928	0.250135	0.008	50000
510.204	0.9153	41	0.0749297	89.4134	0.248818	0.008	50000
510.204	0.91374	42	0.0754727	87.8229	0.252049	0.008	50000
510.204	0.91712	43	0.075979	90.2128	0.243818	0.008	50000
510.204	0.91918	44	0.0740043	89.7124	0.237563	0.008	50000
510.204	0.91652	45	0.0767325	87.4997	0.243473	0.008	50000
510.204	0.91912	46	0.0771284	87.3887	0.237479	0.008	50000
510.204	0.9179	47	0.0762154	89.036	0.238267	0.008	50000
510.204	0.91678	48	0.0808001	88.6402	0.241842	0.008	50000
510.204	0.91968	49	0.0774614	88.1006	0.231007	0.008	50000
510.204	0.92002	50	0.0787672	89.759	0.235201	0.008	50000
510.204	0.92086	51	0.0781392	88.599	0.231603	0.008	50000
510.204	0.92076	52	0.0776919	88.1974	0.231253	0.008	50000
510.204	0.92132	53	0.076268	90.0738	0.229909	0.008	50000
510.204	0.91958	54	0.0811041	89.2593	0.23151	0.008	50000
510.204	0.92164	55	0.0823875	89.4502	0.227043	0.008	50000
510.204	0.92254	56	0.0775922	88.5888	0.225898	0.008	50000
510.204	0.92392	57	0.0794006	90.1314	0.222123	0.008	50000
510.204	0.92282	58	0.0811434	87.1366	0.224112	0.008	50000
510.204	0.9247	59	0.0760361	87.9751	0.223935	0.008	50000
510.204	0.92672	60	0.0795762	91.04	0.216928	0.008	50000
510.204	0.95714	61	0.0595904	87.6759	0.126741	0.0024	50000
510.204	0.96894	62	0.0540609	86.6049	0.0938585	0.0024	50000
510.204	0.97284	63	0.057332	87.7819	0.0816545	0.0024	50000
510.204	0.97466	64	0.0620647	87.0052	0.0773808	0.0024	50000
510.204	0.97618	65	0.0562094	89.7278	0.0700697	0.0024	50000
510.204	0.97856	66	0.0581429	89.7198	0.0634261	0.0024	50000
510.204	0.97998	67	0.0622819	88.1757	0.0615223	0.0024	50000
510.204	0.98128	68	0.0616355	88.1494	0.0558595	0.0024	50000
510.204	0.98196	69	0.0628462	85.359	0.0559542	0.0024	50000
510.204	0.98202	70	0.0603814	89.8167	0.0537377	0.0024	50000
510.204	0.98286	71	0.0628001	89.8206	0.0499049	0.0024	50000
510.204	0.98296	72	0.0682752	88.5131	0.0495152	0.0024	50000
510.204	0.98256	73	0.0647866	86.6584	0.0515586	0.0024	50000
510.204	0.98376	74	0.0673765	88.6925	0.0472504	0.0024	50000
510.204	0.9842	75	0.0710015	87.6853	0.0469289	0.0024	50000
510.204	0.98394	76	0.0712381	87.316	0.0490838	0.0024	50000
510.204	0.98444	77	0.0694284	89.0841	0.0470173	0.0024	50000
510.204	0.9845	78	0.0677638	87.4024	0.0463616	0.0024	50000
510.204	0.98632	79	0.0708406	88.0916	0.0417123	0.0024	50000
510.204	0.98664	80	0.0707253	89.2958	0.0414543	0.0024	50000
510.204	0.99104	81	0.055122	87.6409	0.0270077	0.0008	50000
510.204	0.99408	82	0.0464778	88.1016	0.0193142	0.0008	50000
510.204	0.99524	83	0.0444441	88.1244	0.01614	0.0008	50000
510.204	0.99528	84	0.0446543	90.0536	0.0151297	0.0008	50000
