batch_size	correct	epoch	grad_target_layer	grad_target_layer_alpha	loss	lr	n_samples
510.204	0.4075	1	0.0241202	95.5392	1.6013	0.008	50000
510.204	0.58774	2	0.048386	100.513	1.14983	0.008	50000
510.204	0.66504	3	0.0587247	98.7136	0.945762	0.008	50000
510.204	0.71016	4	0.0649352	95.3385	0.816982	0.008	50000
510.204	0.747	5	0.0584488	98.8899	0.725499	0.008	50000
510.204	0.77238	6	0.067498	96.3963	0.65761	0.008	50000
510.204	0.794	7	0.067874	96.2816	0.596693	0.008	50000
510.204	0.80498	8	0.0671295	94.0462	0.564503	0.008	50000
510.204	0.8195	9	0.0687003	92.7216	0.531641	0.008	50000
510.204	0.83102	10	0.0691661	92.5964	0.495704	0.008	50000
510.204	0.8371	11	0.0678378	92.4235	0.474231	0.008	50000
510.204	0.84356	12	0.0692437	95.5512	0.456273	0.008	50000
510.204	0.8547	13	0.0709162	92.6836	0.42771	0.008	50000
510.204	0.86054	14	0.0735907	93.8316	0.412513	0.008	50000
510.204	0.86168	15	0.0714879	90.1667	0.404786	0.008	50000
510.204	0.8696	16	0.068115	91.5184	0.386863	0.008	50000
510.204	0.8724	17	0.0705698	91.6522	0.37458	0.008	50000
510.204	0.87696	18	0.0684096	90.9595	0.362711	0.008	50000
510.204	0.87984	19	0.0719549	91.516	0.353217	0.008	50000
510.204	0.88368	20	0.068987	89.7367	0.342401	0.008	50000
510.204	0.88444	21	0.0727112	90.233	0.340105	0.008	50000
510.204	0.88928	22	0.0701346	88.8468	0.327524	0.008	50000
510.204	0.89062	23	0.0686089	91.0903	0.320087	0.008	50000
510.204	0.8928	24	0.0686885	89.8265	0.314092	0.008	50000
510.204	0.89494	25	0.0668132	89.4163	0.308505	0.008	50000
510.204	0.8993	26	0.069322	91.2437	0.298234	0.008	50000
510.204	0.89802	27	0.071043	87.7952	0.298567	0.008	50000
510.204	0.90188	28	0.0695565	92.2033	0.286202	0.008	50000
510.204	0.90436	29	0.0731962	90.44	0.277081	0.008	50000
510.204	0.9036	30	0.0742262	89.8985	0.282316	0.008	50000
510.204	0.90398	31	0.0696612	90.7235	0.279711	0.008	50000
510.204	0.9077	32	0.0727197	90.5311	0.271086	0.008	50000
510.204	0.90856	33	0.0723017	90.7987	0.268679	0.008	50000
510.204	0.90854	34	0.0737319	88.2205	0.266595	0.008	50000
510.204	0.91096	35	0.0688073	88.836	0.260265	0.008	50000
510.204	0.90868	36	0.0734466	88.7785	0.263173	0.008	50000
510.204	0.9131	37	0.0715345	90.9757	0.252811	0.008	50000
510.204	0.9143	38	0.0729762	88.307	0.253757	0.008	50000
510.204	0.91334	39	0.0736098	89.4336	0.253308	0.008	50000
510.204	0.91516	40	0.0687201	89.6824	0.249313	0.008	50000
510.204	0.91458	41	0.0735038	88.7334	0.249246	0.008	50000
510.204	0.91668	42	0.0748863	87.8455	0.244816	0.008	50000
510.204	0.915	43	0.077192	86.9806	0.248353	0.008	50000
510.204	0.91636	44	0.0725055	88.5939	0.244751	0.008	50000
510.204	0.9205	45	0.0712447	87.9561	0.233956	0.008	50000
510.204	0.9176	46	0.0732776	88.0143	0.241301	0.008	50000
510.204	0.91832	47	0.0712777	86.4936	0.238082	0.008	50000
510.204	0.92064	48	0.0709842	87.43	0.235577	0.008	50000
510.204	0.9212	49	0.0759526	88.7975	0.234217	0.008	50000
510.204	0.92132	50	0.074529	88.356	0.233011	0.008	50000
510.204	0.92086	51	0.0739924	88.8935	0.231681	0.008	50000
510.204	0.91888	52	0.0719867	89.1496	0.235015	0.008	50000
510.204	0.92064	53	0.0718684	88.2654	0.231776	0.008	50000
510.204	0.92028	54	0.0739549	88.859	0.230538	0.008	50000
510.204	0.92352	55	0.0734997	88.1666	0.22292	0.008	50000
